,sentence1,sentence21,sentence22,pronoun,referent1,wrong_referent1,referent2,wrong_referent2
16398,The sniper eliminated the terrorist,He was a brutal combatant,He was a ruthless arms dealer,He,terrorist,sniper,terrorist,sniper
16399,The sniper eliminated the terrorist,He was a notorious warmonger,He was a dangerous cyber criminal,He,terrorist,sniper,terrorist,sniper
16400,The sniper assassinated the terrorist,He was a notorious cyber criminal,He was a brutal war criminal,He,terrorist,sniper,terrorist,sniper
16401,The accurate sniper fired the terrorist,He was a successful marksman,He was a top killer,He,sniper,terrorist,sniper,terrorist
16402,The sniper fired the terrorist,He was a accurate shooter,He was a notorious murderer,He,sniper,terrorist,terrorist,sniper
16403,The resourceful sniper eliminated the terrorist,He was a notorious money launderer,He was a talented killer,He,terrorist,sniper,sniper,terrorist
16404,The sniper took aim the terrorist,He was a dangerous dealer,He was a accurate assassin,He,terrorist,sniper,sniper,terrorist
16405,The sniper assassinated the terrorist,He was a resourceful sharpshooter,He was a notorious insurgent,He,sniper,terrorist,terrorist,sniper
16406,The sniper executed the terrorist,He was a precise sharpshooter,He was a ruthless militant,He,sniper,terrorist,terrorist,sniper
16407,The people joined a nonviolent protest against the government,They were violating election laws,They were standing in solidarity,They,government,people,people,government
16408,The sniper took down the terrorist,He was a ruthless arms dealer,He was a dangerous human rights violator,He,terrorist,sniper,terrorist,sniper
16409,The sniper eliminated the terrorist,He was a brutal human trafficker,He was a brutal human rights violator,He,terrorist,sniper,terrorist,sniper
16410,The sniper eliminated the terrorist,He was a ruthless warlord,He was a ruthless bomber,He,terrorist,sniper,terrorist,sniper
16411,The storm cancelled the scheduled flight,It was carrying a VIP,It was causing flash floods,It,flight,storm,storm,flight
16412,The sniper targeted the terrorist,He was a resourceful marksman,He was a brutal murderer,He,sniper,terrorist,terrorist,sniper
16413,The sniper took out the terrorist,He was a resourceful assassin,He was a notorious criminal,He,sniper,terrorist,terrorist,sniper
16414,The sniper neutralized the terrorist,He was a notorious guy,He was a notorious war criminal,He,terrorist,sniper,terrorist,sniper
16415,The sniper neutralized the terrorist,He was a dangerous criminal,He was a precise assassin,He,terrorist,sniper,sniper,terrorist
16416,The sniper took down the terrorist,He was a brutal warlord,He was a accurate marksman,He,terrorist,sniper,sniper,terrorist
16417,The sniper took aim the terrorist,He was a accurate marksman,He was a brutal arms smuggler,He,sniper,terrorist,terrorist,sniper
16418,The sniper neutralized the terrorist,He was a accurate sharpshooter,He was a ruthless guy,He,sniper,terrorist,terrorist,sniper
16419,The sailors tumbled off the boats,They were testing their bravery,They were handling the rough seas,They,sailors,boats,sailors,boats
16420,The sniper targeted the terrorist,He was a ruthless human rights violator,He was a brutal bomber,He,terrorist,sniper,terrorist,sniper
16421,The dangerous storm shattered the flight,It was carrying cargo,It was flying to Hawaii,It,flight,storm,flight,storm
16422,The sniper fired the terrorist,He was a winning shooter,He was a ruthless dictator,He,sniper,terrorist,terrorist,sniper
16423,The sniper killed the terrorist,He was a accurate killer,He was a resourceful marksman,He,sniper,terrorist,sniper,terrorist
16424,The sniper took out the terrorist,He was a resourceful marksman,He was a brutal human trafficker,He,sniper,terrorist,terrorist,sniper
16425,The sniper took out the terrorist,He was a dangerous human trafficker,He was a dangerous criminal,He,terrorist,sniper,terrorist,sniper
16426,The sniper took down the terrorist,He was a ruthless combatant,He was a brutal arms smuggler,He,terrorist,sniper,terrorist,sniper
16427,The police prosecuted the criminals through the city,They were determined and focused,They were trying to sell drugs,They,police,criminals,criminals,police
16428,The sniper took down the terrorist,He was a dangerous dealer,He was a ruthless dealer,He,terrorist,sniper,terrorist,sniper
16429,The sniper targeted the terrorist,He was a resourceful assassin,He was a accurate sharpshooter,He,sniper,terrorist,sniper,terrorist
16430,The storm made the flight,It was carrying cargo,It was carrying a VIP,It,flight,storm,flight,storm
16431,The people held a hunger strike against the government,They were demanding a say,They were fighting for their freedoms,They,people,government,people,government
16432,The sailors dived off the boats,They were falling apart,They were not safe,They,boats,sailors,boats,sailors
16433,The winning sniper executed the terrorist,He was a brutal killer,He was a veteran shooter,He,terrorist,sniper,sniper,terrorist
16434,The sniper killed the terrorist,He was a brutal guy,He was a ruthless killer,He,terrorist,sniper,terrorist,sniper
16435,The sniper assassinated the terrorist,He was a precise killer,He was a accurate assassin,He,sniper,terrorist,sniper,terrorist
16436,The people joined a nonviolent protest against the government,They were embezzling public funds,They were spreading hope,They,government,people,people,government
16437,The precise sniper neutralized the terrorist,He was a top killer,He was a ruthless bomber,He,sniper,terrorist,terrorist,sniper
16438,The sniper killed the terrorist,He was a ruthless human trafficker,He was a resourceful sharpshooter,He,terrorist,sniper,sniper,terrorist
16439,The sniper took out the terrorist,He was a precise sharpshooter,He was a notorious insurgent,He,sniper,terrorist,terrorist,sniper
16440,The students read through the books,They were pushing themselves to succeed,They were filled with data,They,students,books,books,students
16441,The sniper neutralized the terrorist,He was a notorious guy,He was a ruthless cyber criminal,He,terrorist,sniper,terrorist,sniper
16442,The sniper eliminated the terrorist,He was a notorious bomb maker,He was a brutal bomb maker,He,terrorist,sniper,terrorist,sniper
16443,The sniper targeted the terrorist,He was a dangerous human rights abuser,He was a dangerous killer,He,terrorist,sniper,terrorist,sniper
16444,The heart circulated blood that rejuvenated cells,It was a organ-supporting fluid,It was a life-enriching liquid,It,blood,heart,blood,heart
16445,The sniper assassinated the terrorist,He was a dangerous guy,He was a dangerous bomb maker,He,terrorist,sniper,terrorist,sniper
16446,The sniper eliminated the terrorist,He was a dangerous extremist,He was a resourceful sharpshooter,He,terrorist,sniper,sniper,terrorist
16447,The sniper targeted the terrorist,He was a precise shooter,He was a accurate sharpshooter,He,sniper,terrorist,sniper,terrorist
16448,The sniper took down the terrorist,He was a accurate shooter,He was a brutal bomb maker,He,sniper,terrorist,terrorist,sniper
16449,The people took action against the government,They were promoting transparency,They were rigging elections,They,people,government,government,people
16450,The sniper eliminated the terrorist,He was a notorious money launderer,He was a notorious extremist,He,terrorist,sniper,terrorist,sniper
16451,The sniper assassinated the terrorist,He was a precise assassin,He was a dangerous guy,He,sniper,terrorist,terrorist,sniper
16452,The resourceful sniper assassinated the terrorist,He was a veteran killer,He was a ruthless war criminal,He,sniper,terrorist,terrorist,sniper
16453,The students learned from the books,They were filled with data,They were filled with knowledge,They,books,students,books,students
16454,The bee alighted on the flower,It was beautiful,It was collecting food,It,flower,bee,bee,flower
16455,The sniper fired the terrorist,He was a brutal guy,He was a resourceful killer,He,terrorist,sniper,sniper,terrorist
16456,The sniper eliminated the terrorist,He was a dangerous insurgent,He was a brutal arms smuggler,He,terrorist,sniper,terrorist,sniper
16457,The precise sniper took out the terrorist,He was a top shooter,He was a ruthless dictator,He,sniper,terrorist,terrorist,sniper
16458,The bee hovered above the flower,It was gathering nectar,It was providing food,It,bee,flower,flower,bee
16459,The sniper killed the terrorist,He was a ruthless dictator,He was a precise assassin,He,terrorist,sniper,sniper,terrorist
16460,The sniper fired the terrorist,He was a ruthless human rights abuser,He was a dangerous insurgent,He,terrorist,sniper,terrorist,sniper
16461,The sniper neutralized the terrorist,He was a ruthless insurgent,He was a accurate killer,He,terrorist,sniper,sniper,terrorist
16462,The resourceful sniper took out the terrorist,He was a ruthless human rights violator,He was a notorious human trafficker,He,terrorist,sniper,terrorist,sniper
16463,The sniper killed the terrorist,He was a ruthless arms dealer,He was a notorious insurgent,He,terrorist,sniper,terrorist,sniper
16464,The sniper eliminated the terrorist,He was a brutal combatant,He was a winning marksman,He,terrorist,sniper,sniper,terrorist
16465,The sniper took aim the terrorist,He was a precise killer,He was a dangerous guy,He,sniper,terrorist,terrorist,sniper
16466,The winning sniper took out the terrorist,He was a dangerous human trafficker,He was a brutal human rights violator,He,terrorist,sniper,terrorist,sniper
16467,The sniper assassinated the terrorist,He was a ruthless human rights abuser,He was a resourceful marksman,He,terrorist,sniper,sniper,terrorist
16468,The accurate sniper eliminated the terrorist,He was a veteran shooter,He was a dangerous dealer,He,sniper,terrorist,terrorist,sniper
16469,The students studied the books,They were thrilling their senses,They were covering advanced topics,They,students,books,books,students
16470,The sniper took aim the terrorist,He was a notorious bomber,He was a winning killer,He,terrorist,sniper,sniper,terrorist
16471,The sniper neutralized the terrorist,He was a dangerous murderer,He was a notorious arms dealer,He,terrorist,sniper,terrorist,sniper
16472,The sniper took down the terrorist,He was a brutal bomb maker,He was a resourceful killer,He,terrorist,sniper,sniper,terrorist
16473,The sniper took out the terrorist,He was a precise shooter,He was a notorious criminal,He,sniper,terrorist,terrorist,sniper
16474,The resourceful sniper fired the terrorist,He was a brutal warmonger,He was a successful shooter,He,terrorist,sniper,sniper,terrorist
16475,The sniper took aim the terrorist,He was a ruthless combatant,He was a brutal cyber criminal,He,terrorist,sniper,terrorist,sniper
16476,The sniper targeted the terrorist,He was a ruthless guy,He was a notorious guy,He,terrorist,sniper,terrorist,sniper
16477,The sniper assassinated the terrorist,He was a ruthless war criminal,He was a brutal killer,He,terrorist,sniper,terrorist,sniper
16478,The sailors escaped from the safe boats,They were not trained,They were overloading,They,sailors,boats,boats,sailors
16479,The sniper killed the terrorist,He was a dangerous drug lord,He was a dangerous arms dealer,He,terrorist,sniper,terrorist,sniper
16480,The sniper took down the terrorist,He was a brutal drug lord,He was a dangerous guy,He,terrorist,sniper,terrorist,sniper
16481,The sniper killed the terrorist,He was a accurate sharpshooter,He was a brutal insurgent,He,sniper,terrorist,terrorist,sniper
16482,The sniper took aim the terrorist,He was a ruthless combatant,He was a notorious bomb maker,He,terrorist,sniper,terrorist,sniper
16483,The sniper neutralized the terrorist,He was a ruthless dealer,He was a brutal combatant,He,terrorist,sniper,terrorist,sniper
16484,The heart drove blood that reduced inflammation,It was a revitalizing liquid,It was a essential fluid,It,blood,heart,blood,heart
16485,The sniper took down the terrorist,He was a brutal warlord,He was a ruthless dealer,He,terrorist,sniper,terrorist,sniper
16486,The sniper neutralized the terrorist,He was a notorious human rights abuser,He was a resourceful sharpshooter,He,terrorist,sniper,sniper,terrorist
16487,The enthusiastic students reinterpreted the useful books,They were well-written,They were providing essential knowledge,They,books,students,books,students
16488,The precise sniper took down the terrorist,He was a dangerous arms smuggler,He was a successful sharpshooter,He,terrorist,sniper,sniper,terrorist
16489,The sniper executed the terrorist,He was a notorious cyber criminal,He was a dangerous human trafficker,He,terrorist,sniper,terrorist,sniper
16490,The sniper killed the terrorist,He was a dangerous killer,He was a brutal war criminal,He,terrorist,sniper,terrorist,sniper
16491,The sniper targeted the terrorist,He was a resourceful assassin,He was a brutal arms dealer,He,sniper,terrorist,terrorist,sniper
16492,The sniper took out the terrorist,He was a ruthless insurgent,He was a winning assassin,He,terrorist,sniper,sniper,terrorist
16493,The birds worked hard for the seeds,They were flying to new destinations,They were a satisfying meal,They,birds,seeds,seeds,birds
16494,The sniper fired the terrorist,He was a dangerous arms smuggler,He was a accurate assassin,He,terrorist,sniper,sniper,terrorist
16495,The sniper assassinated the terrorist,He was a notorious arms dealer,He was a brutal war criminal,He,terrorist,sniper,terrorist,sniper
16496,The birds searched for the tough seeds,They were hunting for sustenance,They were perfumed,They,birds,seeds,seeds,birds
16497,The sniper killed the terrorist,He was a winning sharpshooter,He was a brutal war criminal,He,sniper,terrorist,terrorist,sniper
16498,The sniper targeted the terrorist,He was a notorious war criminal,He was a notorious criminal,He,terrorist,sniper,terrorist,sniper
16499,The sniper neutralized the terrorist,He was a notorious war criminal,He was a dangerous human trafficker,He,terrorist,sniper,terrorist,sniper
16500,The sniper neutralized the terrorist,He was a ruthless bomber,He was a ruthless warmonger,He,terrorist,sniper,terrorist,sniper
16501,The resourceful sniper fired the terrorist,He was a top marksman,He was a veteran killer,He,sniper,terrorist,sniper,terrorist
16502,The students scrutinized the books,They were beautifully written,They were eager to learn,They,books,students,students,books
16503,The people rallied for their cause against the government,They were covering up scandals,They were fighting for their future,They,government,people,people,government
16504,The storm overwhelmed the international flight,It was making road conditions hazardous,It was putting lives in peril,It,storm,flight,storm,flight
16505,The sniper executed the terrorist,He was a ruthless bomb maker,He was a resourceful shooter,He,terrorist,sniper,sniper,terrorist
16506,The winning sniper took out the terrorist,He was a top shooter,He was a talented marksman,He,sniper,terrorist,sniper,terrorist
16507,The sniper fired the terrorist,He was a brutal dealer,He was a brutal assassin,He,terrorist,sniper,terrorist,sniper
16508,The quick-witted birds chased the seeds,They were luscious,They were crunchy and satisfying,They,seeds,birds,seeds,birds
16509,The sniper targeted the terrorist,He was a notorious assassin,He was a dangerous bomb maker,He,terrorist,sniper,terrorist,sniper
16510,The resourceful sniper took aim the terrorist,He was a brutal warmonger,He was a veteran sharpshooter,He,terrorist,sniper,sniper,terrorist
16511,The sniper took down the terrorist,He was a precise sharpshooter,He was a brutal drug lord,He,sniper,terrorist,terrorist,sniper
16512,The storm cancelled the scheduled flight,It was putting lives in peril,It was putting travelers in danger,It,storm,flight,storm,flight
16513,The sniper neutralized the terrorist,He was a ruthless assassin,He was a winning sharpshooter,He,terrorist,sniper,sniper,terrorist
16514,The precise sniper targeted the terrorist,He was a successful shooter,He was a notorious human trafficker,He,sniper,terrorist,terrorist,sniper
16515,The raging storm posed a threat to the flight,It was carrying a VIP,It was carrying essential supplies,It,flight,storm,flight,storm
16516,The accurate sniper assassinated the terrorist,He was a talented killer,He was a top assassin,He,sniper,terrorist,sniper,terrorist
16517,The storm alarm the morning flight,It was producing tornadoes,It was carrying important documents,It,storm,flight,flight,storm
16518,The sniper targeted the terrorist,He was a brutal cyber criminal,He was a dangerous warmonger,He,terrorist,sniper,terrorist,sniper
16519,The sniper assassinated the terrorist,He was a dangerous assassin,He was a brutal money launderer,He,terrorist,sniper,terrorist,sniper
16520,The sailors escaped from the boats,They were not securing themselves,They were not built well,They,sailors,boats,boats,sailors
16521,The sniper eliminated the terrorist,He was a dangerous murderer,He was a precise shooter,He,terrorist,sniper,sniper,terrorist
16522,The enthusiastic heart drove blood rapidly,It was a resilient organ,It was a single-minded muscle,It,heart,blood,heart,blood
16523,The sniper assassinated the terrorist,He was a notorious cyber criminal,He was a winning sharpshooter,He,terrorist,sniper,sniper,terrorist
16524,The birds delicately ate the seeds,They were a delicious food,They were a refreshing food,They,seeds,birds,seeds,birds
16525,The sniper executed the terrorist,He was a accurate sharpshooter,He was a brutal warmonger,He,sniper,terrorist,terrorist,sniper
16526,The sniper neutralized the terrorist,He was a ruthless human rights abuser,He was a ruthless militant,He,terrorist,sniper,terrorist,sniper
16527,The sniper assassinated the terrorist,He was a dangerous militant,He was a dangerous criminal,He,terrorist,sniper,terrorist,sniper
16528,The sniper took aim the terrorist,He was a resourceful killer,He was a accurate killer,He,sniper,terrorist,sniper,terrorist
16529,The accurate sniper fired the terrorist,He was a top killer,He was a notorious dealer,He,sniper,terrorist,terrorist,sniper
16530,The sniper executed the terrorist,He was a precise killer,He was a ruthless bomb maker,He,sniper,terrorist,terrorist,sniper
16531,The sniper assassinated the terrorist,He was a dangerous assassin,He was a ruthless war criminal,He,terrorist,sniper,terrorist,sniper
16532,The sniper took aim the terrorist,He was a dangerous warmonger,He was a ruthless warlord,He,terrorist,sniper,terrorist,sniper
16533,The sniper took out the terrorist,He was a ruthless assassin,He was a brutal bomber,He,terrorist,sniper,terrorist,sniper
16534,The sniper took aim the terrorist,He was a resourceful killer,He was a brutal launderer,He,sniper,terrorist,terrorist,sniper
16535,The sniper neutralized the terrorist,He was a dangerous arms smuggler,He was a dangerous human trafficker,He,terrorist,sniper,terrorist,sniper
16536,The sniper took down the terrorist,He was a dangerous warmonger,He was a winning marksman,He,terrorist,sniper,sniper,terrorist
16537,The bee collected nectar from the flower,It was harvesting nectar,It was producing nectar,It,bee,flower,flower,bee
16538,The sniper assassinated the terrorist,He was a dangerous militant,He was a notorious combatant,He,terrorist,sniper,terrorist,sniper
16539,The sailors plunged off the boats,They were ignoring the warnings,They were breaking apart,They,sailors,boats,boats,sailors
16540,The sniper took down the terrorist,He was a brutal militant,He was a dangerous cyber criminal,He,terrorist,sniper,terrorist,sniper
16541,The sniper assassinated the terrorist,He was a notorious killer,He was a accurate sharpshooter,He,terrorist,sniper,sniper,terrorist
16542,The sniper took aim the terrorist,He was a ruthless extremist,He was a notorious extremist,He,terrorist,sniper,terrorist,sniper
16543,The sniper neutralized the terrorist,He was a accurate sharpshooter,He was a dangerous militant,He,sniper,terrorist,terrorist,sniper
16544,The precise sniper eliminated the terrorist,He was a notorious money launderer,He was a talented assassin,He,terrorist,sniper,sniper,terrorist
16545,The sniper targeted the terrorist,He was a brutal combatant,He was a dangerous launderer,He,terrorist,sniper,terrorist,sniper
16546,The sniper targeted the terrorist,He was a notorious warmonger,He was a dangerous launderer,He,terrorist,sniper,terrorist,sniper
16547,The storm devastated the flight,It was flying to Hawaii,It was producing tornadoes,It,flight,storm,storm,flight
16548,The sniper took out the terrorist,He was a dangerous launderer,He was a notorious arms dealer,He,terrorist,sniper,terrorist,sniper
16549,The sniper neutralized the terrorist,He was a brutal human rights abuser,He was a precise killer,He,terrorist,sniper,sniper,terrorist
16550,The sniper killed the terrorist,He was a winning assassin,He was a ruthless warlord,He,sniper,terrorist,terrorist,sniper
16551,The sniper eliminated the terrorist,He was a dangerous human rights abuser,He was a dangerous launderer,He,terrorist,sniper,terrorist,sniper
16552,The sniper eliminated the terrorist,He was a ruthless militant,He was a precise marksman,He,terrorist,sniper,sniper,terrorist
16553,The sniper executed the terrorist,He was a brutal arms dealer,He was a brutal guy,He,terrorist,sniper,terrorist,sniper
16554,The precise sniper took down the terrorist,He was a brutal arms smuggler,He was a veteran shooter,He,terrorist,sniper,sniper,terrorist
16555,The sniper executed the terrorist,He was a ruthless warmonger,He was a ruthless murderer,He,terrorist,sniper,terrorist,sniper
16556,The sniper targeted the terrorist,He was a resourceful marksman,He was a brutal money launderer,He,sniper,terrorist,terrorist,sniper
16557,The sniper took out the terrorist,He was a ruthless human trafficker,He was a dangerous warmonger,He,terrorist,sniper,terrorist,sniper
16558,The sniper neutralized the brutal terrorist,He was a violent money launderer,He was a bad assassin,He,terrorist,sniper,terrorist,sniper
16559,The sailors plunged into the navy boats,They were not in control,They were not built well,They,boats,sailors,boats,sailors
16560,The sniper took down the terrorist,He was a dangerous drug lord,He was a dangerous criminal,He,terrorist,sniper,terrorist,sniper
16561,The accurate sniper targeted the terrorist,He was a talented shooter,He was a successful killer,He,sniper,terrorist,sniper,terrorist
16562,The sniper assassinated the terrorist,He was a dangerous criminal,He was a ruthless insurgent,He,terrorist,sniper,terrorist,sniper
16563,The sniper eliminated the terrorist,He was a winning sharpshooter,He was a accurate killer,He,sniper,terrorist,sniper,terrorist
16564,The sailors escaped off the boats,They were not equipped,They were repairing the hull,They,sailors,boats,sailors,boats
16565,The sniper fired the terrorist,He was a dangerous arms smuggler,He was a dangerous dealer,He,terrorist,sniper,terrorist,sniper
16566,The sniper eliminated the terrorist,He was a brutal war criminal,He was a notorious warlord,He,terrorist,sniper,terrorist,sniper
16567,The sniper executed the terrorist,He was a resourceful assassin,He was a brutal militant,He,sniper,terrorist,terrorist,sniper
16568,The sniper took out the terrorist,He was a notorious human rights abuser,He was a brutal cyber criminal,He,terrorist,sniper,terrorist,sniper
16569,The storm hindered the international flight,It was making road conditions hazardous,It was carrying essential supplies,It,storm,flight,flight,storm
16570,The sniper assassinated the terrorist,He was a dangerous assassin,He was a notorious extremist,He,terrorist,sniper,terrorist,sniper
16571,The sniper killed the terrorist,He was a brutal combatant,He was a dangerous dealer,He,terrorist,sniper,terrorist,sniper
16572,The brave bee was always on the flower,It was full of pollen,It was making pollen,It,flower,bee,flower,bee
16573,The sniper assassinated the terrorist,He was a accurate assassin,He was a dangerous bomb maker,He,sniper,terrorist,terrorist,sniper
16574,The resourceful sniper took down the terrorist,He was a veteran marksman,He was a successful shooter,He,sniper,terrorist,sniper,terrorist
16575,The precise sniper executed the terrorist,He was a talented sharpshooter,He was a top assassin,He,sniper,terrorist,sniper,terrorist
16576,The sailors vaulted off the boats,They were tipping over,They were seeking safety,They,boats,sailors,sailors,boats
16577,The people held a hunger strike against the government,They were fighting for their freedoms,They were denying education,They,people,government,government,people
16578,The sniper targeted the terrorist,He was a ruthless launderer,He was a dangerous dealer,He,terrorist,sniper,terrorist,sniper
16579,The precise sniper neutralized the terrorist,He was a veteran shooter,He was a successful shooter,He,sniper,terrorist,sniper,terrorist
16580,The birds gobbled up the mouth-watering seeds,They were building their nests,They were a flavorful snack,They,birds,seeds,seeds,birds
16581,The sniper executed the terrorist,He was a notorious warlord,He was a resourceful killer,He,terrorist,sniper,sniper,terrorist
16582,The sniper fired the terrorist,He was a ruthless human rights abuser,He was a accurate marksman,He,terrorist,sniper,sniper,terrorist
16583,The efficient bee hovered above the pretty flower,It was producing honey,It was attracting attention,It,flower,bee,flower,bee
16584,The hardworking students read through the books,They were exploring new ideas,They were reaching for their potential,They,students,books,students,books
16585,The knife punctured the weak fence carefully,It was powerful and precise,It was sharp and well-maintained,It,knife,fence,knife,fence
16586,The sniper executed the terrorist,He was a dangerous human trafficker,He was a brutal drug lord,He,terrorist,sniper,terrorist,sniper
16587,The winning sniper assassinated the terrorist,He was a veteran marksman,He was a dangerous militant,He,sniper,terrorist,terrorist,sniper
16588,The sniper assassinated the terrorist,He was a ruthless bomber,He was a notorious bomber,He,terrorist,sniper,terrorist,sniper
16589,The sniper targeted the terrorist,He was a winning assassin,He was a brutal war criminal,He,sniper,terrorist,terrorist,sniper
16590,The accurate sniper neutralized the terrorist,He was a talented killer,He was a veteran assassin,He,sniper,terrorist,sniper,terrorist
16591,The unswerving heart moved blood rapidly,It was a persistent organ,It was a driven muscle,It,heart,blood,heart,blood
16592,The storm obstructed the commercial flight,It was carrying essential supplies,It was creating dangerous conditions,It,flight,storm,storm,flight
16593,The sniper executed the terrorist,He was a brutal war criminal,He was a accurate sharpshooter,He,terrorist,sniper,sniper,terrorist
16594,The sniper took down the terrorist,He was a precise assassin,He was a brutal arms smuggler,He,sniper,terrorist,terrorist,sniper
16595,The sniper took aim the terrorist,He was a notorious bomber,He was a dangerous dealer,He,terrorist,sniper,terrorist,sniper
16596,The sniper neutralized the terrorist,He was a brutal warlord,He was a brutal combatant,He,terrorist,sniper,terrorist,sniper
16597,The storm destroyed the flight,It was carrying important documents,It was producing tornadoes,It,flight,storm,storm,flight
16598,The sailors leapt off the boats,They were ignoring safety precautions,They were causing accidents,They,sailors,boats,boats,sailors
16599,The sniper neutralized the terrorist,He was a ruthless murderer,He was a resourceful sharpshooter,He,terrorist,sniper,sniper,terrorist
16600,The winning sniper took out the terrorist,He was a veteran assassin,He was a veteran sharpshooter,He,sniper,terrorist,sniper,terrorist
16601,The sniper neutralized the terrorist,He was a winning assassin,He was a notorious dealer,He,sniper,terrorist,terrorist,sniper
16602,The people led a demonstration against the government,They were violating election laws,They were promoting human rights,They,government,people,people,government
16603,The storm disrupted the commercial flight,It was producing tornadoes,It was putting lives in peril,It,storm,flight,storm,flight
16604,The sniper took down the terrorist,He was a winning marksman,He was a notorious insurgent,He,sniper,terrorist,terrorist,sniper
16605,The students delved into the books,They were convincing,They were improving their skills,They,books,students,students,books
16606,The sniper neutralized the terrorist,He was a brutal insurgent,He was a resourceful killer,He,terrorist,sniper,sniper,terrorist
16607,The sniper assassinated the terrorist,He was a dangerous war criminal,He was a dangerous assassin,He,terrorist,sniper,terrorist,sniper
16608,The athletic heart moved blood with resilience,It was a unfaltering organ,It was a driven muscle,It,heart,blood,heart,blood
16609,The precise sniper eliminated the terrorist,He was a veteran shooter,He was a notorious guy,He,sniper,terrorist,terrorist,sniper
16610,The sniper eliminated the terrorist,He was a ruthless assassin,He was a ruthless cyber criminal,He,terrorist,sniper,terrorist,sniper
16611,The sniper took out the terrorist,He was a accurate killer,He was a dangerous criminal,He,sniper,terrorist,terrorist,sniper
16612,The sniper took out the terrorist,He was a notorious arms dealer,He was a resourceful marksman,He,terrorist,sniper,sniper,terrorist
16613,The sniper fired the terrorist,He was a ruthless human rights abuser,He was a notorious war criminal,He,terrorist,sniper,terrorist,sniper
16614,The accurate sniper took down the terrorist,He was a successful killer,He was a top shooter,He,sniper,terrorist,sniper,terrorist
16615,The resourceful sniper fired the terrorist,He was a top marksman,He was a top sharpshooter,He,sniper,terrorist,sniper,terrorist
16616,The sniper took out the terrorist,He was a notorious human rights abuser,He was a brutal militant,He,terrorist,sniper,terrorist,sniper
16617,The storm ruined the morning flight,It was carrying a VIP,It was putting lives in peril,It,flight,storm,storm,flight
16618,The students reinterpreted the books,They were covering advanced topics,They were embracing their strengths,They,books,students,students,books
16619,The storm forced the commercial flight,It was carrying important documents,It was carrying a VIP,It,flight,storm,flight,storm
16620,The people held a vigil against the government,They were seeking better solutions,They were standing in solidarity,They,people,government,people,government
16621,The sniper took aim the terrorist,He was a dangerous dealer,He was a ruthless killer,He,terrorist,sniper,terrorist,sniper
16622,The sniper targeted the terrorist,He was a dangerous criminal,He was a brutal money launderer,He,terrorist,sniper,terrorist,sniper
16623,The sniper took aim the terrorist,He was a precise shooter,He was a notorious warlord,He,sniper,terrorist,terrorist,sniper
16624,The resourceful sniper fired the terrorist,He was a veteran sharpshooter,He was a ruthless bomber,He,sniper,terrorist,terrorist,sniper
16625,The sniper took out the terrorist,He was a notorious cyber criminal,He was a winning shooter,He,terrorist,sniper,sniper,terrorist
16626,The precise sniper took out the terrorist,He was a talented sharpshooter,He was a notorious money launderer,He,sniper,terrorist,terrorist,sniper
16627,The people shouted their demands against the government,They were denying basic freedoms,They were standing their ground,They,government,people,people,government
16628,The precise sniper took aim the terrorist,He was a talented killer,He was a top shooter,He,sniper,terrorist,sniper,terrorist
16629,The sniper killed the terrorist,He was a dangerous warmonger,He was a brutal bomber,He,terrorist,sniper,terrorist,sniper
16630,The resourceful sniper fired the terrorist,He was a successful shooter,He was a talented assassin,He,sniper,terrorist,sniper,terrorist
16631,The sniper executed the terrorist,He was a dangerous guy,He was a winning sharpshooter,He,terrorist,sniper,sniper,terrorist
16632,The sniper neutralized the terrorist,He was a dangerous criminal,He was a dangerous militant,He,terrorist,sniper,terrorist,sniper
16633,The storm devastated the international flight,It was carrying a VIP,It was creating dangerous conditions,It,flight,storm,storm,flight
16634,The sniper eliminated the terrorist,He was a ruthless human trafficker,He was a brutal bomb maker,He,terrorist,sniper,terrorist,sniper
16635,The sniper assassinated the terrorist,He was a ruthless dictator,He was a winning assassin,He,terrorist,sniper,sniper,terrorist
16636,The sniper eliminated the terrorist,He was a winning shooter,He was a precise assassin,He,sniper,terrorist,sniper,terrorist
16637,The sniper took down the terrorist,He was a brutal militant,He was a ruthless guy,He,terrorist,sniper,terrorist,sniper
16638,The sniper executed the terrorist,He was a notorious dealer,He was a notorious money launderer,He,terrorist,sniper,terrorist,sniper
16639,The sniper neutralized the terrorist,He was a winning marksman,He was a ruthless arms smuggler,He,sniper,terrorist,terrorist,sniper
16640,The accurate sniper took down the dangerous terrorist,He was a talented marksman,He was a top assassin,He,sniper,terrorist,sniper,terrorist
16641,The sailors leaped off the boats,They were avoiding the rocks,They were ignoring safety precautions,They,sailors,boats,sailors,boats
16642,The accurate sniper targeted the terrorist,He was a ruthless war criminal,He was a top sharpshooter,He,terrorist,sniper,sniper,terrorist
16643,The heart pushed blood with a clear intention,It was a unswerving muscle,It was a powerful organ,It,heart,blood,heart,blood
16644,The storm forced the morning flight,It was carrying important documents,It was carrying a VIP,It,flight,storm,flight,storm
16645,The sniper targeted the terrorist,He was a winning killer,He was a dangerous dealer,He,sniper,terrorist,terrorist,sniper
16646,The sniper took out the brutal terrorist,He was a winning marksman,He was a accurate shooter,He,sniper,terrorist,sniper,terrorist
16647,The lucky sailors tumbled off the boats,They were untrustworthy,They were not properly operated,They,boats,sailors,boats,sailors
